srs,language,verification_pass_ratio,test_case_pass_ratio,avg_input_token,avg_output_token,total_time,avg_verification_iter,avg_test_iter,PassVer@1,total_tokens
0000 - cctns,python,0.8571,0.0,2429.3,791.1,1255.19,1.71,0.0,0.8571,128818
0000 - cctns,java,0.7143,1.0,2758.2,771.5,914.87,2.0,1,0.8571,151779
0000 - cctns,javascript,0.7143,0.4,2426.9,579.2,976.1,2.43,1,0.7143,135278
0000 - gamma j,python,1.0,0.0,3801.4,988.5,1958.32,2.0,0.0,1.0,282601
0000 - gamma j,java,0.8333,0.0,3169.1,950.9,1163.07,2.33,1,0.8333,168919
0000 - gamma j,javascript,1.0,0.0,2476.8,862.1,1347.15,2.17,0.0,1.0,123538
2009 - video search,python,0.0,0.4444,1835.0,861.3,1021.9,4.0,5,0.1429,115942
2009 - video search,java,0.0,0.0,2764.6,1093.9,598.53,4.0,0.0,0.0,57878
2009 - video search,javascript,0.0,0.0,2606.5,928.1,1024.59,4.0,0.0,0.0,53020
Event Management,python,0.0,0.6667,2003.1,944.1,987.89,4.0,5,0.2,97259
Event Management,java,1.0,0.0,2696.9,1351.0,252.66,2.0,0.0,1.0,28335
Event Management,javascript,0.0,0.7333,2630.4,894.5,344.13,4.0,1,0.4,45823
Human,python,1.0,0.0,2212.5,1087.4,273.88,1.0,0.0,1.0,32999
Human,java,0.5,1.0,3032.1,942.3,614.04,3.5,1,1.0,59616
Human,javascript,1.0,0.0,2418.3,761.5,312.12,2.5,0.0,1.0,41338
Shoten_SRS,python,0.9444,0.0,4039.5,1249.4,10043.26,3.22,5,0.9444,1644833
Shoten_SRS,java,0.6852,1.0,2905.7,1338.8,5393.55,2.94,1,1.0,619706
Shoten_SRS,javascript,0.3704,0.6187,2497.0,1044.9,3911.75,3.28,1,0.5926,612736
TRADING SOFTWARE,python,1.0,0.0,2453.0,1244.3,331.2,2.0,0.0,1.0,25881
TRADING SOFTWARE,java,1.0,0.0,2731.1,1257.4,299.62,3.0,0.0,1.0,31908
TRADING SOFTWARE,javascript,1.0,0.0,1885.4,965.0,395.49,2.0,0.0,1.0,34205
dineout_srs,python,0.9615,1.0,4085.5,1137.8,5098.32,3.23,5,1.0,773052
dineout_srs,java,0.6923,0.0,2813.6,1246.1,2997.73,2.12,1,0.6923,328833
dineout_srs,javascript,0.5385,0.6364,2443.3,988.2,2809.11,3.08,1,0.6923,325989
foodsaver,python,0.973,1.0,2698.4,821.5,6348.85,2.22,3,1.0,939797
foodsaver,java,0.7568,0.0,3077.0,893.4,6232.65,2.24,1,0.7568,1016425
foodsaver,javascript,0.7838,0.7273,2518.6,686.3,4938.61,2.38,1,0.8378,759561
kinmail_srs,python,1.0,0.0,4396.8,1557.5,1980.25,3.38,0.0,1.0,285804
kinmail_srs,java,0.0,1.0,3023.6,1672.7,1380.35,4.0,1,1.0,136191
kinmail_srs,javascript,0.0,0.5686,2839.0,1402.8,1009.78,4.0,1,0.1538,123012
